caller_class,caller_method,callee_fqn,callee_simple,kind
,LongWrapper,getValue,getValue,external
,LongWrapper,setValue,setValue,external
,Pov,call,call,external
,ChangePaymentMethod,changePaymentMethod_Vx0,changePaymentMethod_Vx0,external
,ChangePaymentMethod,changePaymentMethod_VxA,changePaymentMethod_VxA,external
,NewCustomer,newCustomer_Vx0,newCustomer_Vx0,external
,NewCustomer,newCustomer_Vx101,newCustomer_Vx101,external
,NewCustomer,newCustomer_Vx138,newCustomer_Vx138,external
,NewCustomer,newCustomer_Vx158,newCustomer_Vx158,external
,NewCustomer,newCustomer_Vx197,newCustomer_Vx197,external
,NewCustomer,newCustomer_VxA,newCustomer_VxA,external
,NewProducts,newProducts_Vx0,newProducts_Vx0,external
,NewProducts,newProducts_VxA,newProducts_VxA,external
,ProductDetail,productDetail_Vx0,productDetail_Vx0,external
,ProductDetail,productDetail_VxA,productDetail_VxA,external
,ChangePaymentMethodInput,getCreditInfo,getCreditInfo,external
,ChangePaymentMethodInput,setCreditInfo,setCreditInfo,external
,ChangePaymentMethodInput,getCustomerId,getCustomerId,external
,ChangePaymentMethodInput,setCustomerId,setCustomerId,external
,ChangePaymentMethodInput,getPaymentMethod,getPaymentMethod,external
,ChangePaymentMethodInput,setPaymentMethod,setPaymentMethod,external
,ChangePaymentMethodInput,getPoId,getPoId,external
,ChangePaymentMethodInput,setPoId,setPoId,external
,ChangePaymentMethodInput,getThreadId,getThreadId,external
,ChangePaymentMethodInput,setThreadId,setThreadId,external
,NewCustomerInput,getBillingAddr1,getBillingAddr1,external
,NewCustomerInput,setBillingAddr1,setBillingAddr1,external
,NewCustomerInput,getBillingAddr2,getBillingAddr2,external
,NewCustomerInput,setBillingAddr2,setBillingAddr2,external
,NewCustomerInput,getBillingCity,getBillingCity,external
,NewCustomerInput,setBillingCity,setBillingCity,external
,NewCustomerInput,getBillingCountry,getBillingCountry,external
,NewCustomerInput,setBillingCountry,setBillingCountry,external
,NewCustomerInput,getBillingState,getBillingState,external
,NewCustomerInput,setBillingState,setBillingState,external
,NewCustomerInput,getBillingZip,getBillingZip,external
,NewCustomerInput,setBillingZip,setBillingZip,external
,NewCustomerInput,getBusinessInfo,getBusinessInfo,external
,NewCustomerInput,setBusinessInfo,setBusinessInfo,external
,NewCustomerInput,getBusinessName,getBusinessName,external
,NewCustomerInput,setBusinessName,setBusinessName,external
,NewCustomerInput,getContactEmail,getContactEmail,external
,NewCustomerInput,setContactEmail,setContactEmail,external
,NewCustomerInput,getContactFName,getContactFName,external
,NewCustomerInput,setContactFName,setContactFName,external
,NewCustomerInput,getContactLName,getContactLName,external
,NewCustomerInput,setContactLName,setContactLName,external
,NewCustomerInput,getContactPhone,getContactPhone,external
,NewCustomerInput,setContactPhone,setContactPhone,external
,NewCustomerInput,getCreditInfo,getCreditInfo,external
,NewCustomerInput,setCreditInfo,setCreditInfo,external
,NewCustomerInput,getPassword,getPassword,external
,NewCustomerInput,setPassword,setPassword,external
