"","","","","","","","","","","","","","","","","","","","","","","",""
"Sheet","Description","Review","CIVS-WS","","SA1","","SA2","","SA3","","","","","","","","Vulnerable Lines","","","","","",""
"","","","V?","F.P.","V?","F.P.","V?","F.P.","V?","F.P.","","","","","","","Tool","TV","TP","FP","F-MEASURE","Precision","Recall"
"bm-vlines-VxA","Vulnerable lines results for Benchmark Web Services with all vulnerabilities","49","49","0","30","4","71","22","15","6","","","","","","","CIVS-WS","87","69","0","88.46%","100.00%","79.31%"
"bm-vlines-Vx0","Vulnerable lines results for Benchmark Web Services with ""zero"" vulnerabilities","0","0","0","0","0","7","7","4","4","","","","","","","SA1","87","48","4","69.06%","92.31%","55.17%"
"bm-vlines-Vx1","Vulnerable lines results for Benchmark Web Services with one vulnerable line per version","38","20","0","22","0","58","20","21","17","","","","","","","SA2","87","87","49","78.03%","63.97%","100.00%"
"Total","","87","69","0","52","4","136","49","40","27","","","","","","","SA3","87","13","27","20.47%","32.50%","14.94%"
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Vulnerable Inputs","","","","","",""
"Source","Description","Review","CIVS-WS","","VS1","","VS2","","VS3","","VS4","","","","","","Tool","TV","TP","FP","F-MEASURE","Precision","Recall"
"","","","V?","F.P.","V?","F.P.","V?","F.P.","V?","F.P.","V?","F.P.","","","","","CIVS","158","119","0","85.92%","100.00%","75.32%"
"bm-vinput-VxA","Vulnerable inputs results for Benchmark Web Services with all vulnerabilities","56","55","0","30","3","20","2","2","0","21","3","","","","","VS1","158","51","61","37.78%","45.54%","32.28%"
"bm-vinput-Vx0","Vulnerable inputs results for Benchmark Web Services with ""zero"" vulnerabilities","0","0","0","15","15","16","16","0","0","5","5","","","","","VS2","158","38","60","29.69%","38.78%","24.05%"
"bm-vinput-Vx1","Vulnerable inputs results for Benchmark Web Services with one vulnerable line per version","102","64","0","67","43","62","42","1","0","41","21","","","","","VS3","158","3","0","3.73%","100.00%","1.90%"
"Total","","158","119","0","112","61","98","60","3","0","67","29","","","","","VS4","158","38","29","33.78%","56.72%","24.05%"
