file_name,method_name,real,esperado
LongWrapper,getValue,NA,1
LongWrapper,setValue,NA,1
Pov,call,NA,1
ChangePaymentMethodInput,getCreditInfo,NA,1
ChangePaymentMethodInput,setCreditInfo,NA,1
ChangePaymentMethodInput,getCustomerId,NA,1
ChangePaymentMethodInput,setCustomerId,NA,1
ChangePaymentMethodInput,getPaymentMethod,NA,1
ChangePaymentMethodInput,setPaymentMethod,NA,1
ChangePaymentMethodInput,getPoId,NA,1
ChangePaymentMethodInput,setPoId,NA,1
ChangePaymentMethodInput,getThreadId,NA,1
ChangePaymentMethodInput,setThreadId,NA,1
NewCustomerInput,getBillingAddr1,NA,1
NewCustomerInput,setBillingAddr1,NA,1
NewCustomerInput,getBillingAddr2,NA,1
NewCustomerInput,setBillingAddr2,NA,1
NewCustomerInput,getBillingCity,NA,1
NewCustomerInput,setBillingCity,NA,1
NewCustomerInput,getBillingCountry,NA,1
NewCustomerInput,setBillingCountry,NA,1
NewCustomerInput,getBillingState,NA,1
NewCustomerInput,setBillingState,NA,1
NewCustomerInput,getBillingZip,NA,1
NewCustomerInput,setBillingZip,NA,1
NewCustomerInput,getBusinessInfo,NA,1
NewCustomerInput,setBusinessInfo,NA,1
NewCustomerInput,getBusinessName,NA,1
NewCustomerInput,setBusinessName,NA,1
NewCustomerInput,getContactEmail,NA,1
NewCustomerInput,setContactEmail,NA,1
NewCustomerInput,getContactFName,NA,1
NewCustomerInput,setContactFName,NA,1
NewCustomerInput,getContactLName,NA,1
NewCustomerInput,setContactLName,NA,1
NewCustomerInput,getContactPhone,NA,1
NewCustomerInput,setContactPhone,NA,1
NewCustomerInput,getCreditInfo,NA,1
NewCustomerInput,setCreditInfo,NA,1
NewCustomerInput,getPassword,NA,1
NewCustomerInput,setPassword,NA,1
NewCustomerInput,getPaymentMethod,NA,1
NewCustomerInput,setPaymentMethod,NA,1
NewCustomerInput,getPoId,NA,1
NewCustomerInput,setPoId,NA,1
NewCustomerInput,getThreadId,NA,1
NewCustomerInput,setThreadId,NA,1
NewProductsInput,getCutOffDuration,NA,1
NewProductsInput,setCutOffDuration,NA,1
NewProductsInput,getItemLimit,NA,1
NewProductsInput,setItemLimit,NA,1
NewProductsInput,getSubjectString,NA,1
NewProductsInput,setSubjectString,NA,1
ProductDetailInput,getItemIds,NA,1
ProductDetailInput,setItemIds,NA,1
ChangePaymentMethodOutput,getCurrPaymentMethod,NA,1
ChangePaymentMethodOutput,setCurrPaymentMethod,NA,1
NewCustomerOutput,getCustomerId,NA,1
NewCustomerOutput,setCustomerId,NA,1
NewProduct,getAuthorFName,NA,1
NewProduct,setAuthorFName,NA,1
NewProduct,getAuthorLName,NA,1
NewProduct,setAuthorLName,NA,1
NewProduct,getItemId,NA,1
NewProduct,setItemId,NA,1
NewProduct,getItemTitle,NA,1
NewProduct,setItemTitle,NA,1
NewProductsOutput,getNewProductsList,NA,1
NewProductsOutput,setNewProductsList,NA,1
ProductDetailOutput,getDetailedProductsList,NA,1
ProductDetailOutput,setDetailedProductsList,NA,1
ProductDetailPojo,getAuthorFName,NA,1
ProductDetailPojo,setAuthorFName,NA,1
ProductDetailPojo,getAuthorLName,NA,1
ProductDetailPojo,setAuthorLName,NA,1
ProductDetailPojo,getItemAvail,NA,1
ProductDetailPojo,setItemAvail,NA,1
ProductDetailPojo,getItemBacking,NA,1
ProductDetailPojo,setItemBacking,NA,1
ProductDetailPojo,getItemCost,NA,1
ProductDetailPojo,setItemCost,NA,1
ProductDetailPojo,getItemDesc,NA,1
ProductDetailPojo,setItemDesc,NA,1
ProductDetailPojo,getItemDimensions,NA,1
ProductDetailPojo,setItemDimensions,NA,1
ProductDetailPojo,getItemId,NA,1
ProductDetailPojo,setItemId,NA,1
ProductDetailPojo,getItemIsbn,NA,1
ProductDetailPojo,setItemIsbn,NA,1
ProductDetailPojo,getItemPage,NA,1
ProductDetailPojo,setItemPage,NA,1
ProductDetailPojo,getItemPubDate,NA,1
ProductDetailPojo,setItemPubDate,NA,1
ProductDetailPojo,getItemPublisher,NA,1
ProductDetailPojo,setItemPublisher,NA,1
ProductDetailPojo,getItemSrp,NA,1
ProductDetailPojo,setItemSrp,NA,1
ProductDetailPojo,getItemSubject,NA,1
ProductDetailPojo,setItemSubject,NA,1
ProductDetailPojo,getItemTitle,NA,1
ProductDetailPojo,setItemTitle,NA,1
ProductDetailPojo,getImageBytes,NA,1
ProductDetailPojo,setImageBytes,NA,1
ChangePaymentMethod_Vx0,process,NA,1
ChangePaymentMethod_Vx0,updateCPM,NA,1
ChangePaymentMethod_Vx0,getBusiName,NA,1
ChangePaymentMethod_VxA,process,NA,1
ChangePaymentMethod_VxA,updateCPM,NA,1
ChangePaymentMethod_VxA,getBusiName,NA,1
NewCustomer_Vx0,process,NA,1
NewCustomer_Vx0,getAddressID,NA,1
NewCustomer_Vx0,createAddress,NA,1
NewCustomer_Vx0,getCOID,NA,1
NewCustomer_Vx0,insertCostumer,NA,1
NewCustomer_Vx101,process,NA,1
NewCustomer_Vx101,getAddressID,NA,1
NewCustomer_Vx101,createAddress,NA,1
NewCustomer_Vx101,getCOID,NA,1
NewCustomer_Vx101,insertCostumer,NA,1
NewCustomer_Vx138,process,NA,1
NewCustomer_Vx138,getAddressID,NA,1
NewCustomer_Vx138,createAddress,NA,1
NewCustomer_Vx138,getCOID,NA,1
NewCustomer_Vx138,insertCostumer,NA,1
NewCustomer_Vx158,process,NA,1
NewCustomer_Vx158,getAddressID,NA,1
NewCustomer_Vx158,createAddress,NA,1
NewCustomer_Vx158,getCOID,NA,1
NewCustomer_Vx158,insertCostumer,NA,1
NewCustomer_Vx197,process,NA,1
NewCustomer_Vx197,getAddressID,NA,1
NewCustomer_Vx197,createAddress,NA,1
NewCustomer_Vx197,getCOID,NA,1
NewCustomer_Vx197,insertCostumer,NA,1
NewCustomer_VxA,process,NA,1
NewCustomer_VxA,getAddressID,NA,1
NewCustomer_VxA,createAddress,NA,1
NewCustomer_VxA,getCOID,NA,1
NewCustomer_VxA,insertCostumer,NA,0
NewProducts_Vx0,process,NA,1
NewProducts_Vx0,getData,NA,1
NewProducts_VxA,process,NA,1
NewProducts_VxA,getData,NA,1
ProductDetail_Vx0,process,NA,1
ProductDetail_Vx0,getData,NA,1
ProductDetail_VxA,process,NA,1
ProductDetail_VxA,getData,NA,1
DeliveryResult,getW_id,NA,1
DeliveryResult,getO_carrier_id,NA,0
DeliveryResult,getSkippedDeliveries,NA,1
DeliveryResult,getDistrictDeliveryList,NA,1
DeliveryResult,setW_id,NA,1
DeliveryResult,setO_carrier_id,NA,1
DeliveryResult,setSkippedDeliveries,NA,1
DeliveryResult,setDistrictDeliveryList,NA,1
DistrictDelivery,getDistrict,NA,1
DistrictDelivery,setDistrict,NA,1
DistrictDelivery,getOrderid,NA,1
DistrictDelivery,setOrderid,NA,0
Order,getO_id,NA,1
Order,setO_id,NA,1
Order,getC_id,NA,1
Order,setC_id,NA,1
Order,getEntdate,NA,1
Order,setEntdate,NA,1
Order,getO_carrier_id,NA,1
Order,setO_carrier_id,NA,1
Order,getOrderLines,NA,1
Order,setOrderLines,NA,1
OrderLine,getOl_supply_w_id,NA,1
OrderLine,setOl_supply_w_id,NA,1
OrderLine,getOl_i_id,NA,1
OrderLine,setOl_i_id,NA,1
OrderLine,getOl_quantity,NA,1
OrderLine,setOl_quantity,NA,1
OrderLine,getOl_amount,NA,1
OrderLine,setOl_amount,NA,1
OrderLine,getOl_delivery_d,NA,1
OrderLine,setOl_delivery_d,NA,1
OrderLine,toString,NA,1
PaymentResult,getW_id,NA,1
PaymentResult,getW_street_1,NA,1
PaymentResult,getW_street_2,NA,1
PaymentResult,getW_city,NA,1
PaymentResult,getW_state,NA,1
PaymentResult,getW_zip,NA,1
PaymentResult,getD_id,NA,1
PaymentResult,getD_street_1,NA,1
PaymentResult,getD_street_2,NA,1
PaymentResult,getD_city,NA,1
