parent,file_name,version,method_name,real,esperado
tpcc,Delivery,Vx0,deliveryTransaction,0,1
tpcc,Delivery,VxA,deliveryTransaction,1,1
tpcc,Delivery,Vx051,deliveryTransaction,0,1
tpcc,Delivery,Vx075,deliveryTransaction,0,1
tpcc,Delivery,Vx099,deliveryTransaction,0,1
tpcc,Delivery,Vx123,deliveryTransaction,0,1
tpcc,Delivery,Vx138,deliveryTransaction,0,1
tpcc,Delivery,Vx154,deliveryTransaction,0,1
tpcc,Delivery,Vx176,deliveryTransaction,1,1
tpcc,NewOrder,Vx0,newOrderTransaction,0,1
tpcc,NewOrder,VxA,newOrderTransaction,0,1
tpcc,NewOrder,Vx056,newOrderTransaction,0,1
tpcc,NewOrder,Vx081,newOrderTransaction,0,1
tpcc,NewOrder,Vx103,newOrderTransaction,0,1
tpcc,NewOrder,Vx119,newOrderTransaction,0,1
tpcc,NewOrder,Vx144,newOrderTransaction,0,1
tpcc,OrderStatus,Vx0,orderStatusTransaction,0,1
tpcc,OrderStatus,VxA,orderStatusTransaction,1,1
tpcc,OrderStatus,Vx046,orderStatusTransaction,0,1
tpcc,OrderStatus,Vx066,orderStatusTransaction,0,1
tpcc,OrderStatus,Vx096,orderStatusTransaction,0,1
tpcc,OrderStatus,Vx122,orderStatusTransaction,0,1
tpcc,OrderStatus,Vx143,orderStatusTransaction,1,1
tpcc,Payment,Vx0,paymentTransaction,0,1
tpcc,Payment,VxA,paymentTransaction,1,1
tpcc,Payment,Vx043,paymentTransaction,0,1
tpcc,Payment,Vx057,paymentTransaction,0,1
tpcc,Payment,Vx078,paymentTransaction,0,1
tpcc,Payment,Vx091,paymentTransaction,0,1
tpcc,Payment,Vx115,paymentTransaction,0,1
tpcc,Payment,Vx136,paymentTransaction,0,1
tpcc,Payment,Vx177,paymentTransaction,0,0
tpcc,StockLevel,Vx0,stockLevelTransaction,0,1
tpcc,StockLevel,Vx033,stockLevelTransaction,1,1
tpcc,StockLevel,VxA,stockLevelTransaction,1,1
tpcw,CreateNewCustomer,Vx0,createNewCustomer,0,1
tpcw,CreateNewCustomer,VxA,createNewCustomer,1,1
tpcw,CreateNewCustomer,Vx078,createNewCustomer,1,1
tpcw,CreateNewCustomer,Vx103,createNewCustomer,0,1
tpcw,CreateNewCustomer,Vx113,createNewCustomer,0,1
tpcw,CreateNewCustomer,Vx132,createNewCustomer,0,1
tpcw,DoAuthorSearch,VxA,doAuthorSearch,1,1
tpcw,DoAuthorSearch,Vx0,doAuthorSearch,0,1
tpcw,DoSubjectSearch,Vx0,doSubjectSearch,0,1
tpcw,DoSubjectSearch,VxA,doSubjectSearch,1,1
tpcw,DoTitleSearch,Vx0,doTitleSearch,0,1
tpcw,DoTitleSearch,VxA,doTitleSearch,1,1
tpcw,GetBestSellers,Vx0,getBestSellers,0,1
tpcw,GetBestSellers,VxA,getBestSellers,1,1
tpcw,GetCustomer,Vx0,getCustomer,0,1
tpcw,GetCustomer,VxA,getCustomer,1,1
tpcw,GetMostRecentOrder,Vx0,getMostRecentOrder,0,1
tpcw,GetMostRecentOrder,VxA,getMostRecentOrder,0,1
tpcw,GetNewProducts,Vx0,getNewProducts,0,1
tpcw,GetNewProducts,VxA,getNewProducts,1,1
tpcw,GetPassword,Vx0,getPassword,0,1
tpcw,GetPassword,VxA,getPassword,1,1
tpcw,GetUsername,Vx0,getUserName,0,1
tpcw,GetUsername,VxA,getUserName,0,1
